"month","year","Point.Forecast"
"Enero","2020",0
"Febrero","2020",0
"Marzo","2020",0
"Abril","2020",0
"Mayo","2020",0
"Junio","2020",190.4
"Julio","2020",93.6
"Agosto","2020",13.9
"Septiembre","2020",4.8
"Octubre","2020",0.1
"Noviembre","2020",1.3
"Diciembre","2020",0
"Enero","2021",10.0675217634679
"Febrero","2021",14.1333816046307
"Marzo","2021",17.0639361307802
"Abril","2021",14.3197257455919
"Mayo","2021",9.15862431614376
"Junio","2021",8.82798168465473
"Julio","2021",19.1515436883539
"Agosto","2021",9.61202418017629
"Septiembre","2021",20.4489387979465
"Octubre","2021",17.9597889494091
"Noviembre","2021",16.0850593529341
"Diciembre","2021",18.2890729928235
"Enero","2022",19.5681866456672
"Febrero","2022",19.6757358931199
"Marzo","2022",17.3286465287641
"Abril","2022",22.1736039414604
"Mayo","2022",26.4169698861187
"Junio","2022",NA
"Julio","2022",3.24927002381878
"Agosto","2022",22.953556553415
"Septiembre","2022",14.1097443680535
"Octubre","2022",18.2223963733244
"Noviembre","2022",20.1810367427393
"Diciembre","2022",17.0612006516609
